INFO:discord.client:logging in using static token
INFO:discord.gateway:Shard ID None has connected to Gateway (Session ID: 892fb607fe0dc1674b459fbcbbab1dbb).
ERROR:Crawler: Erreur lors de l'exécution de la commande : Command '['nmap', '-p', '25565', '-sV', '81.178.76.180']' returned non-zero exit status 3221225786.
ERROR:Crawler: Erreur lors de l'exécution de la commande : Command '['nmap', '-p', '25565', '-sV', '26.201.166.176']' returned non-zero exit status 3221225786.
ERROR:Crawler: Erreur lors de l'exécution de la commande : Command '['nmap', '-p', '25565', '-sV', '193.136.141.67']' returned non-zero exit status 3221225786.
ERROR:Crawler: Erreur lors de l'exécution de la commande : Command '['nmap', '-p', '28015', '-sV', '84.45.74.208']' returned non-zero exit status 3221225786.
ERROR:Crawler: Erreur lors de l'exécution de la commande : Command '['nmap', '-p', '7777', '-sV', '191.130.106.223']' returned non-zero exit status 3221225786.
ERROR:Crawler: Erreur lors de l'exécution de la commande : Command '['nmap', '-p', '25565', '-sV', '126.104.95.14']' returned non-zero exit status 3221225786.
ERROR:Crawler: Erreur lors de l'exécution de la commande : Command '['nmap', '-p', '28015', '-sV', '129.42.83.151']' returned non-zero exit status 3221225786.
ERROR:Crawler: Erreur lors de l'exécution de la commande : Command '['nmap', '-p', '25565', '-sV', '169.164.143.44']' returned non-zero exit status 3221225786.
ERROR:Crawler: Erreur lors de l'exécution de la commande : Command '['nmap', '-p', '27015', '-sV', '126.104.95.14']' returned non-zero exit status 3221225786.
ERROR:Crawler: Erreur lors de l'exécution de la commande : Command '['nmap', '-p', '25565', '-sV', '191.130.106.223']' returned non-zero exit status 3221225786.
ERROR:Crawler: Erreur lors de l'exécution de la commande : Command '['nmap', '-p', '27015', '-sV', '193.136.141.67']' returned non-zero exit status 3221225786.
ERROR:Crawler: Erreur lors de l'exécution de la commande : Command '['nmap', '-p', '27015', '-sV', '26.201.166.176']' returned non-zero exit status 3221225786.
ERROR:Crawler: Erreur lors de l'exécution de la commande : Command '['nmap', '-p', '27015', '-sV', '81.178.76.180']' returned non-zero exit status 3221225786.
ERROR:Crawler: Erreur lors de l'exécution de la commande : Command '['nmap', '-p', '27015', '-sV', '169.164.143.44']' returned non-zero exit status 3221225786.
ERROR:Crawler: Erreur lors de l'exécution de la commande : Command '['nmap', '-p', '28015', '-sV', '26.201.166.176']' returned non-zero exit status 3221225786.
ERROR:Crawler: Erreur lors de l'exécution de la commande : Command '['nmap', '-p', '28015', '-sV', '169.164.143.44']' returned non-zero exit status 3221225786.
ERROR:Crawler: Erreur lors de l'exécution de la commande : Command '['nmap', '-p', '27015', '-sV', '191.130.106.223']' returned non-zero exit status 3221225786.
ERROR:Crawler: Erreur lors de l'exécution de la commande : Command '['nmap', '-p', '28015', '-sV', '126.104.95.14']' returned non-zero exit status 3221225786.
ERROR:Crawler: Erreur lors de l'exécution de la commande : Command '['nmap', '-p', '28015', '-sV', '193.136.141.67']' returned non-zero exit status 3221225786.
ERROR:Crawler: Erreur lors de l'exécution de la commande : Command '['nmap', '-p', '28015', '-sV', '81.178.76.180']' returned non-zero exit status 3221225786.
